op,file,kernel,axis,gemm,loops_over,grid_axis,meaning,extent,cover_needed,notes
gated_projection_bwd_dx_triton,bias_only_attention/triton/gate_out.py,_dgrad_epi,BN,1,N,0,hidden,N (d_pair contraction),no,deliberately tiled to bound shared memory on sm_86
gated_projection_bwd_dx_triton,bias_only_attention/triton/gate_out.py,_dgrad_epi,BH,1,,1,hidden,DH (d_hidden output width),yes,splitting re-runs the whole N loop per h-tile
gated_projection_gate_flat_triton,bias_only_attention/triton/gate_out.py,_sigmul_fwd,BLK,0,,0,flat,n (numel),no,elementwise 1-D grid over flattened tensor
gated_projection_bwd_gate_flat_triton,bias_only_attention/triton/gate_out.py,_sigmul_bwd,BLK,0,,0,flat,n (numel),no,elementwise 1-D grid over flattened tensor
bias_only_attention_fwd_triton,bias_only_attention/triton/main.py,_attn_fwd,BLOCK_M,1,,0,token,N_CTX (query rows of one pair row),no,grid axis 0
bias_only_attention_fwd_triton,bias_only_attention/triton/main.py,_attn_fwd,BLOCK_N,1,N_CTX,0,seq,N_CTX (V/bias key blocks),no,flash-style loop; logits are the bias alone
bias_only_attention_fwd_triton,bias_only_attention/triton/main.py,_attn_fwd,BLOCK_D,1,,0,hidden,HEAD_DIM (head dim),yes,tl.static_assert(BLOCK_D >= HEAD_DIM)
bias_only_attention_bwd_pre_triton,bias_only_attention/triton/main.py,_attn_bwd_preprocess,BLOCK_M,0,,0,token,N_CTX (query rows),no,grid axis 0
bias_only_attention_bwd_pre_triton,bias_only_attention/triton/main.py,_attn_bwd_preprocess,BLOCK_D,0,HEAD_DIM,0,hidden,HEAD_DIM (head dim),no,accumulating d-loop; exact for any tile
bias_only_attention_bwd_triton,bias_only_attention/triton/main.py,_attn_bwd,BLOCK_M,1,N_CTX,0,token,N_CTX (query rows),no,iterated query loop
bias_only_attention_bwd_triton,bias_only_attention/triton/main.py,_attn_bwd,BLOCK_N,1,,1,seq,N_CTX (KV blocks),no,grid axis 0
bias_only_attention_bwd_triton,bias_only_attention/triton/main.py,_attn_bwd,BLOCK_D,1,,0,hidden,HEAD_DIM (head dim),yes,tl.static_assert(BLOCK_D >= HEAD_DIM); no d loop
cond_transition_expand_swiglu_triton,conditioned_transition/triton/composed.py,_expand_swiglu_kernel,BLOCK_M,1,,1,token,M (B*L or B*L*L rows),no,grid axis 0
cond_transition_expand_swiglu_triton,conditioned_transition/triton/composed.py,_expand_swiglu_kernel,BLOCK_N,1,,1,hidden,ND (expansion*d_hidden),no,grid axis 1; SwiGLU expanded output width
cond_transition_expand_swiglu_triton,conditioned_transition/triton/composed.py,_expand_swiglu_kernel,BLOCK_K,1,K,0,hidden,K (d_hidden in),no,GEMM-1 contraction; no reuse gained by covering
cond_transition_squeeze_gate_triton,conditioned_transition/triton/composed.py,_squeeze_gate_kernel,BLOCK_M,1,,1,token,M (B*L or B*L*L rows),no,
cond_transition_squeeze_gate_triton,conditioned_transition/triton/composed.py,_squeeze_gate_kernel,BLOCK_D,1,,1,hidden,D (d_hidden out),no,grid axis 1; squeeze/gate output width
cond_transition_squeeze_gate_triton,conditioned_transition/triton/composed.py,_squeeze_gate_kernel,BLOCK_K,1,ND,0,hidden,ND (expansion*d_hidden),no,GEMM-2 contraction; designed to iterate
cond_transition_squeeze_gate_triton,conditioned_transition/triton/composed.py,_squeeze_gate_kernel,BLOCK_DC,1,DC,0,hidden,DC (d_cond),no,second contraction in a separate sequential loop
cond_transition_fwd_b2b_triton,conditioned_transition/triton/inference.py,_cond_transition_inference_kernel,BLOCK_M,1,,1,token,M (B*L or B*L*L rows),no,
cond_transition_fwd_b2b_triton,conditioned_transition/triton/inference.py,_cond_transition_inference_kernel,BLOCK_N,1,ND,1,hidden,ND loop and D grid,no,one knob serves three roles
cond_transition_fwd_b2b_triton,conditioned_transition/triton/inference.py,_cond_transition_inference_kernel,BLOCK_K,1,K,0,hidden,K (d_hidden in),yes,x tile re-loaded inside every ND chunk unless BLOCK_K covers K
cond_transition_fwd_b2b_triton,conditioned_transition/triton/inference.py,_cond_transition_inference_kernel,BLOCK_DC,1,DC,0,hidden,DC (d_cond),no,tiled deliberately to bound smem at DC=384
cond_transition_expand_swiglu_saveact_triton,conditioned_transition/triton/train_fused.py,_fwd_expand_swiglu_kernel,BLOCK_M,1,,1,token,M (B*L or B*L*L rows),no,grid axis 0
cond_transition_expand_swiglu_saveact_triton,conditioned_transition/triton/train_fused.py,_fwd_expand_swiglu_kernel,BLOCK_N,1,,1,hidden,ND (expansion*d_hidden),no,grid axis 1; shared by a/b accumulators and the ab save
cond_transition_expand_swiglu_saveact_triton,conditioned_transition/triton/train_fused.py,_fwd_expand_swiglu_kernel,BLOCK_K,1,K,0,hidden,K (d_hidden in),no,GEMM-1 contraction; no covering branch
cond_transition_squeeze_gate_saveact_triton,conditioned_transition/triton/train_fused.py,_fwd_squeeze_gate_kernel,BLOCK_M,1,,1,token,M (B*L or B*L*L rows),no,grid axis 0
cond_transition_squeeze_gate_saveact_triton,conditioned_transition/triton/train_fused.py,_fwd_squeeze_gate_kernel,BLOCK_D,1,,1,hidden,D (d_hidden out),no,grid axis 1; squeeze/gate output width
cond_transition_squeeze_gate_saveact_triton,conditioned_transition/triton/train_fused.py,_fwd_squeeze_gate_kernel,BLOCK_K,1,ND,0,hidden,ND (expansion*d_hidden),no,GEMM-2 contraction over h despite the K name
cond_transition_squeeze_gate_saveact_triton,conditioned_transition/triton/train_fused.py,_fwd_squeeze_gate_kernel,BLOCK_DC,1,DC,0,hidden,DC (d_cond),no,second contraction in its own sequential loop
gated_projection_bwd_gate_flat_lowp_triton,conditioned_transition/triton/train_fused.py,_gate_bwd_kernel,BLOCK,0,,1,flat,n_elem (M*D),no,1-D linear index
cond_transition_bwd_gemm_triton,conditioned_transition/triton/train_fused.py,_dgemm_kernel,BLOCK_M,1,,1,token,M (B*L or B*L*L rows),no,swizzled 1-D grid
cond_transition_bwd_gemm_triton,conditioned_transition/triton/train_fused.py,_dgemm_kernel,BLOCK_N,1,,1,hidden,N (DC = d_cond output width),no,only live call is dcond = dscale @ Wsc
cond_transition_bwd_gemm_triton,conditioned_transition/triton/train_fused.py,_dgemm_kernel,BLOCK_K,1,K,0,hidden,K (D = d_hidden contraction),no,
cond_transition_bwd_swiglu_dx_triton,conditioned_transition/triton/train_fused.py,_dx_fused_kernel,BLOCK_M,1,,1,token,M (B*L or B*L*L rows),no,
cond_transition_bwd_swiglu_dx_triton,conditioned_transition/triton/train_fused.py,_dx_fused_kernel,BLOCK_K,1,,1,hidden,K (d_hidden out feature),no,grid axis 1; output width despite the K name
cond_transition_bwd_swiglu_dx_triton,conditioned_transition/triton/train_fused.py,_dx_fused_kernel,BLOCK_D,1,ND,0,hidden,ND (expansion*d_hidden),no,the actual contraction
cond_transition_bwd_gate_squeeze_dx_triton,conditioned_transition/triton/train_fused.py,_dh_gatebwd_kernel,BLOCK_M,1,,1,token,M (B*L or B*L*L rows),no,swizzled 1-D grid with GROUP_M
cond_transition_bwd_gate_squeeze_dx_triton,conditioned_transition/triton/train_fused.py,_dh_gatebwd_kernel,BLOCK_N,1,,1,hidden,ND (expansion*d_hidden),no,dh output width; ND too wide to cover
cond_transition_bwd_gate_squeeze_dx_triton,conditioned_transition/triton/train_fused.py,_dh_gatebwd_kernel,BLOCK_K,1,D,0,hidden,D (d_hidden gate/out width),no,DUAL ROLE: GEMM contraction and gate-bwd prologue tile
cond_transition_bwd_swiglu_dx_packed_triton,conditioned_transition/triton/train_fused.py,_dx_swiglubwd_kernel,BLOCK_M,1,,1,token,M (B*L or B*L*L rows),no,swizzled 1-D grid with GROUP_M
cond_transition_bwd_swiglu_dx_packed_triton,conditioned_transition/triton/train_fused.py,_dx_swiglubwd_kernel,BLOCK_N,1,,1,hidden,K (d_hidden out feature),no,grid axis despite the N name
cond_transition_bwd_swiglu_dx_packed_triton,conditioned_transition/triton/train_fused.py,_dx_swiglubwd_kernel,BLOCK_K,1,ND2,0,hidden,ND2 (2*ND packed [da|db]),no,DUAL ROLE: reduction axis and swiglu-bwd emit tile
cond_transition_bwd_swiglu_packed_triton,conditioned_transition/triton/train_fused.py,_swiglu_bwd_pack_kernel,BLOCK_M,0,,0,token,M (B*L or B*L*L rows),no,
cond_transition_bwd_swiglu_packed_triton,conditioned_transition/triton/train_fused.py,_swiglu_bwd_pack_kernel,BLOCK_N,0,,0,hidden,ND (expansion*d_hidden),no,elementwise 2-D tile
cond_transition_bwd_dw_triton,conditioned_transition/triton/train_fused.py,_wgrad_kernel,BLOCK_N,1,,1,hidden,N (dW rows: D or 2*ND),no,grid axis 0
cond_transition_bwd_dw_triton,conditioned_transition/triton/train_fused.py,_wgrad_kernel,BLOCK_K,1,,1,hidden,K (dW cols),no,grid axis 1
cond_transition_bwd_dw_triton,conditioned_transition/triton/train_fused.py,_wgrad_kernel,BLOCK_M,1,M,0,token,M (B*L*L tokens),no,token axis is the reduction; covering thousands of tokens impossible
cond_transition_swiglu_triton,conditioned_transition/triton/training.py,_swiglu_fwd_kernel,BLOCK,0,,1,flat,M*ND,no,deliberately flat; 2-D tiling measured 1.5x slower
cond_transition_bwd_swiglu_flat_triton,conditioned_transition/triton/training.py,_swiglu_bwd_kernel,BLOCK,0,,1,flat,M*ND,no,deliberately flat; 2-D form measured 822us vs under 100us
cond_transition_fwd_b2b_saveact_triton,conditioned_transition/triton/training.py,_b2b_fwd_train_kernel,BLOCK_M,1,,1,token,M (B*L or B*L*L rows),no,grid axis 0
cond_transition_fwd_b2b_saveact_triton,conditioned_transition/triton/training.py,_b2b_fwd_train_kernel,BLOCK_N,1,ND,0,hidden,ND (expansion*d_hidden),no,DUAL ROLE: GEMM-1 output width and GEMM-2 contraction chunk
cond_transition_fwd_b2b_saveact_triton,conditioned_transition/triton/training.py,_b2b_fwd_train_kernel,BLOCK_K,1,K,0,hidden,K (d_hidden in),no,DUAL ROLE: K contraction and reused for the DC contraction loop
cond_transition_fwd_b2b_saveact_triton,conditioned_transition/triton/training.py,_b2b_fwd_train_kernel,BLOCK_D,1,,1,hidden,D (d_hidden out),yes,BLOCK_D>=D leaves one d program; else every d tile recomputes the expand half
layernorm_fwd_rowscale_triton,fused_ln_mask/cute/fused_ln_mask.py,_fused_ln_mask_kernel,BLOCK_M,0,,1,token,M (B*L*L pair rows),no,flattened B*L*L row index; grid axis
layernorm_fwd_rowscale_triton,fused_ln_mask/cute/fused_ln_mask.py,_fused_ln_mask_kernel,BLOCK_D,0,D,0,hidden,D (d_pair feature width),yes,LayerNorm reduce axis; covering keeps the single HBM read of x
gated_projection_gate_triton,gated_projection/triton/main.py,sigmoid_gate_fwd_kernel,BLOCK_M,0,,0,token,n_elements (M = token rows),no,n_elements is rows not elements despite the name
gated_projection_gate_triton,gated_projection/triton/main.py,sigmoid_gate_fwd_kernel,BLOCK_N,0,R,0,hidden,R (= N = hd feature width),no,pure elementwise R-loop
gated_projection_bwd_gate_triton,gated_projection/triton/main.py,sigmoid_gate_bwd_kernel,BLOCK_M,0,,0,token,n_elements (M = token rows),no,
gated_projection_bwd_gate_triton,gated_projection/triton/main.py,sigmoid_gate_bwd_kernel,BLOCK_N,0,R,0,hidden,R (= N = hd feature width),no,R is a runtime arg so no constexpr covering branch is expressible
layernorm_fwd_saveact_triton,layernorm/triton/main.py,layer_norm_fwd_fused,BLOCK_M,0,,0,token,M (B*L or B*L*L rows),no,grid = cdiv(M BLOCK_M)
layernorm_fwd_saveact_triton,layernorm/triton/main.py,layer_norm_fwd_fused,BLOCK_N,0,N,0,hidden,N (d_hidden / d_pair),yes,LN reduce axis; covering collapses to single-pass registers
layernorm_bwd_atomic_triton,layernorm/triton/main.py,layer_norm_bwd_dx_fused,BLOCK_M,0,,0,token,M (B*L or B*L*L rows),no,grid = cdiv(M BLOCK_M)
layernorm_bwd_atomic_triton,layernorm/triton/main.py,layer_norm_bwd_dx_fused,BLOCK_N,0,N,0,hidden,N (d_hidden / d_pair),yes,explicit BLOCK_N>=N branch collapses two c1/c2 passes to one read
layernorm_bwd_split_triton,layernorm/triton/persistent.py,_ln_bwd_persistent,BLOCK_M,0,,0,token,M (B*L*L rows),no,row tiles grid-strided over NUM_SM*2 programs
layernorm_bwd_split_triton,layernorm/triton/persistent.py,_ln_bwd_persistent,BLOCK_N,0,N,1,hidden,N (d_hidden),yes,covering avoids re-reading X and DY for the c1/c2 row reduce
layernorm_fwd_mmajor_triton,layernorm/triton/transpose.py,_ln_transpose_dbn_kernel,BLOCK_M,0,,1,token,M (B*N tokens of the (D M) channel-major view),no,grid = cdiv(M BLOCK_M)
layernorm_fwd_mmajor_triton,layernorm/triton/transpose.py,_ln_transpose_dbn_kernel,BLOCK_D,0,D,0,hidden,D (channel width / d_hidden),yes,LN reduce over D; covering reads x once and transposes from registers
layernorm_linear_fwd_triton,layernorm_linear/triton/fused.py,_lnl_fwd_kernel,BLOCK_M,1,,1,token,M (B*L or B*L*L rows),no,grid is 1-D over M-blocks; N looped in-kernel
layernorm_linear_fwd_triton,layernorm_linear/triton/fused.py,_lnl_fwd_kernel,BLOCK_N,1,N,0,hidden,N (d_out of the Linear),no,GEMM output width; streamed in tiles so LN stats are reused across N
layernorm_linear_fwd_triton,layernorm_linear/triton/fused.py,_lnl_fwd_kernel,BLOCK_K,1,K,0,hidden,K (d_in / d_hidden),yes,covering reads x once vs 2 + N/BLOCK_N reads per row
layernorm_bwd_split_mmajor_triton,layernorm_linear/triton/mmajor_bwd.py,_ln_bwd_mmajor_kernel,BLOCK_M,0,,0,token,M (B*L*L tokens; unit-stride in m-major),no,persistent grid-stride over M-tiles
layernorm_bwd_split_mmajor_triton,layernorm_linear/triton/mmajor_bwd.py,_ln_bwd_mmajor_kernel,BLOCK_N,0,N,1,hidden,N (= K = d_hidden),yes,covering drops the c1/c2 gather so DXn and X are read once
layernorm_linear_fwd_fp32_triton,layernorm_linear/triton/pair_bias.py,_layer_norm_linear_fwd,BLOCK_M,1,,0,token,M (B*L*L pair rows),no,grid = cdiv(M BLOCK_M)
layernorm_linear_fwd_fp32_triton,layernorm_linear/triton/pair_bias.py,_layer_norm_linear_fwd,BLOCK_N,1,N,0,hidden,N (d_pair channel width),yes,LN reduce axis; covering keeps y in registers for all head subtiles
layernorm_linear_fwd_fp32_triton,layernorm_linear/triton/pair_bias.py,_layer_norm_linear_fwd,BLOCK_NH,1,NH,0,hidden,NH (n_head projection out-width),no,projection output axis; n_head tiny so one tile usually covers anyway
layernorm_linear_bwd_fp32_triton,layernorm_linear/triton/pair_bias.py,_layer_norm_linear_bwd,BLOCK_M,1,,0,token,M (B*L*L pair rows),no,grid = cdiv(M BLOCK_M)
layernorm_linear_bwd_fp32_triton,layernorm_linear/triton/pair_bias.py,_layer_norm_linear_bwd,BLOCK_N,1,N,0,hidden,N (d_pair channel width),no,NO covering branch unlike its fwd sibling; both passes re-read x
layernorm_linear_bwd_fp32_triton,layernorm_linear/triton/pair_bias.py,_layer_norm_linear_bwd,BLOCK_NH,1,NH,0,hidden,NH (n_head projection axis),no,ignored entirely on the USE_DOT=False scalar path
layernorm_fwd_recompute_triton,layernorm_linear/triton/recompute.py,_xnormed_kernel,BLOCK_M,0,,1,token,M (B*L*L rows),no,grid = cdiv(M BLOCK_M)
layernorm_fwd_recompute_triton,layernorm_linear/triton/recompute.py,_xnormed_kernel,BLOCK_K,0,K,0,hidden,K (d_hidden),no,pure elementwise; mean/rstd loaded not reduced
layernorm_fwd_recompute_noaffine_triton,layernorm_linear/triton/recompute.py,_xhat_kernel,BLOCK_M,0,,1,token,M (B*L*L rows),no,grid = cdiv(M BLOCK_M)
layernorm_fwd_recompute_noaffine_triton,layernorm_linear/triton/recompute.py,_xhat_kernel,BLOCK_K,0,K,0,hidden,K (d_hidden),no,pure elementwise recompute; no reduction over K
layernorm_stats_triton,layernorm_linear/triton/stats.py,_stats_kernel,BLOCK_M,0,,1,token,M (B*L*L rows),no,grid = cdiv(M BLOCK_M)
layernorm_stats_triton,layernorm_linear/triton/stats.py,_stats_kernel,BLOCK_K,0,K,0,hidden,K (d_hidden),no,single-pass sum/sumsq already reads X once; covering only raises register pressure
layernorm_fwd_saveact_strided_triton,layernorm_linear/triton/te_style.py,_ln_mat_kernel,BLOCK_M,0,,0,token,M (B*L*L rows; arbitrary strides),no,grid = cdiv(M BLOCK_M)
layernorm_fwd_saveact_strided_triton,layernorm_linear/triton/te_style.py,_ln_mat_kernel,BLOCK_N,0,N,0,hidden,N (= K = d_hidden),yes,LN reduce axis; covering reads x once with centred variance
layernorm_bwd_atomic_strided_triton,layernorm_linear/triton/te_style.py,_ln_bwd_kernel,BLOCK_M,0,,0,token,M (B*L*L tokens m-major),no,dG/dB atomics reduce over tokens across blocks
layernorm_bwd_atomic_strided_triton,layernorm_linear/triton/te_style.py,_ln_bwd_kernel,BLOCK_N,0,,0,hidden,N (= K = d_hidden),yes,NO n-loop; launcher pins next_pow2(K) so one tile MUST span N
gated_projection_gate_inplace_flat_triton,tm1/cute/launch.py,_gate_mul_kernel,BLOCK,0,,1,flat,n (proj.numel()),no,1-D elementwise over a flat buffer
gated_projection_gate_packed_flat_triton,tm1/cute/launch.py,_glu_wide_kernel,BLOCK,0,,1,flat,D_L2 (d_pair*L*L of one GLU half),no,flat index over the gate half
trimul_gemm_gate_triton,tm1/triton/main.py,fused_sigmoid_gate_fwd_kernel,BLOCK_M,1,,1,pair,M (B*L*L pairs),no,
trimul_gemm_gate_triton,tm1/triton/main.py,fused_sigmoid_gate_fwd_kernel,BLOCK_K,1,N,0,hidden,N (d_pair contraction),no,
trimul_gemm_gate_triton,tm1/triton/main.py,fused_sigmoid_gate_fwd_kernel,BLOCK_N,1,,1,hidden,N (d_pair output width),no,same symbol N as the contraction
trimul_bwd_gate_recompute_triton,tm1/triton/main.py,fused_sigmoid_gate_bwd_kernel,BLOCK_M,1,,1,pair,M (B*L*L pairs),no,
trimul_bwd_gate_recompute_triton,tm1/triton/main.py,fused_sigmoid_gate_bwd_kernel,BLOCK_K,1,N,0,hidden,N (d_pair contraction),no,
trimul_bwd_gate_recompute_triton,tm1/triton/main.py,fused_sigmoid_gate_bwd_kernel,BLOCK_N,1,,1,hidden,N (d_pair output width),no,
trimul_outproj_gemm_gate_triton,tm2/triton/main.py,fused_sigmoid_gate2_fwd_kernel,BLOCK_M,1,,1,pair,M (B*L*L pairs),no,
trimul_outproj_gemm_gate_triton,tm2/triton/main.py,fused_sigmoid_gate2_fwd_kernel,BLOCK_K,1,N,0,hidden,N (d_pair contraction),no,
trimul_outproj_gemm_gate_triton,tm2/triton/main.py,fused_sigmoid_gate2_fwd_kernel,BLOCK_N,1,,1,hidden,N (d_pair output width),no,
trimul_outproj_bwd_gate_recompute_triton,tm2/triton/main.py,fused_sigmoid_gate2_bwd_kernel,BLOCK_M,1,,1,pair,M (B*L*L pairs),no,
trimul_outproj_bwd_gate_recompute_triton,tm2/triton/main.py,fused_sigmoid_gate2_bwd_kernel,BLOCK_K,1,N,0,hidden,N (d_pair contraction),no,
trimul_outproj_bwd_gate_recompute_triton,tm2/triton/main.py,fused_sigmoid_gate2_bwd_kernel,BLOCK_N,1,,1,hidden,N (d_pair output width),no,
transition_bwd_transpose_packed_triton,transition/cute/backward_gatebwd.py,_cdup_interleave_kernel,BM,0,,1,token,M (B*L or B*L*L rows),no,
